area,ciudad,conglomerado,panelm,vivienda,hogar,s91p7,s91p8a,s91p8b,s91p8c,s91p8d,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s91p10,s91p111,s91p112,s91p113,s91p114,s91p115,s91p121,s91p122,s91p123,s91p124,s91p125,s91p126,s91p131,s91p132,s91p133,estrato,fexp,upm,id_vivienda,id_hogar,periodo
1,10150,005103,025,03,1,3,1,1,1,1,2,2,2,2,2,2,2,1,1,1,1,1,5,5,5,5,5,1,1,1,1,2713,224.843199996053,010150005103,01015000510302503,010150005103025031,202210
1,10150,005103,025,04,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,1,1,1,1,2713,224.843199996053,010150005103,01015000510302504,010150005103025041,202210
1,10150,005103,025,05,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.843199996053,010150005103,01015000510302505,010150005103025051,202210
1,10150,005103,025,06,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,2,2,2,2,2713,224.843199996053,010150005103,01015000510302506,010150005103025061,202210
1,10150,005103,025,07,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2,2,2,2,1,2,2,2713,224.843199996053,010150005103,01015000510302507,010150005103025071,202210
1,10150,005701,025,01,1,3,1,1,1,1,2,2,1,1,1,1,2,2,2,2,2,2,5,5,5,5,5,5,5,1,2,2712,71.4649736405766,010150005701,01015000570102501,010150005701025011,202210
1,10150,005701,025,02,1,3,1,1,1,1,2,2,1,1,2,1,2,2,2,2,2,2,5,5,5,5,5,1,2,3,2,2712,71.4649736405766,010150005701,01015000570102502,010150005701025021,202210
1,10150,005701,025,03,1,3,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,1,2,2,2,2712,71.4649736405766,010150005701,01015000570102503,010150005701025031,202210
1,10150,005701,025,05,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,1,4,2,2,4,3,3,2712,71.4649736405766,010150005701,01015000570102505,010150005701025051,202210
1,10150,005701,025,06,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,2,2,2712,71.4649736405766,010150005701,01015000570102506,010150005701025061,202210
1,10150,005701,025,07,1,3,1,1,1,1,1,2,1,1,1,1,4,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,71.4649736405766,010150005701,01015000570102507,010150005701025071,202210
1,10150,005701,025,08,1,3,1,1,1,1,2,2,2,2,2,1,2,2,2,2,2,2,5,5,5,5,5,5,2,2,2,2712,71.4649736405766,010150005701,01015000570102508,010150005701025081,202210
1,10150,005904,013,01,1,1,3,2,2,1,1,1,1,1,1,1,3,2,2,2,2,2,5,3,4,5,5,1,3,1,1,2713,154.490012148945,010150005904,01015000590401301,010150005904013011,202210
1,10150,005904,013,02,1,1,2,1,5,2,1,1,1,1,1,1,2,2,2,2,2,2,1,3,1,5,5,5,5,1,3,2713,154.490012148945,010150005904,01015000590401302,010150005904013021,202210
1,10150,005904,013,03,1,1,1,1,1,1,2,2,2,2,1,2,4,2,2,2,2,2,5,3,5,5,5,3,5,5,5,2713,154.490012148945,010150005904,01015000590401303,010150005904013031,202210
1,10150,005904,013,04,1,3,1,2,2,2,1,2,2,2,2,1,3,2,1,2,2,2,5,5,2,5,5,2,5,5,5,2713,154.490012148945,010150005904,01015000590401304,010150005904013041,202210
1,10150,005904,013,05,1,3,1,1,1,1,2,2,1,1,2,2,1,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2713,154.490012148945,010150005904,01015000590401305,010150005904013051,202210
1,10150,005904,013,06,1,3,1,1,1,1,1,2,1,1,2,1,3,2,2,2,2,2,1,5,5,5,5,3,5,5,5,2713,154.490012148945,010150005904,01015000590401306,010150005904013061,202210
1,10150,005904,013,07,1,1,1,2,1,1,2,2,2,2,1,2,4,2,2,2,2,2,5,1,4,5,5,3,3,5,5,2713,154.490012148945,010150005904,01015000590401307,010150005904013071,202210
1,10150,007501,025,01,1,3,1,2,2,1,2,2,2,2,2,2,4,2,2,2,2,2,5,5,5,5,3,3,3,2,2,2712,131.505750237121,010150007501,01015000750102501,010150007501025011,202210
1,10150,007501,025,03,1,3,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,131.505750237121,010150007501,01015000750102503,010150007501025031,202210
1,10150,007501,025,04,1,3,6,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,5,5,5,5,2712,131.505750237121,010150007501,01015000750102504,010150007501025041,202210
1,10150,007501,025,05,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,5,5,5,3,3,4,4,2712,131.505750237121,010150007501,01015000750102505,010150007501025051,202210
1,10150,007501,025,06,1,3,1,1,1,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,4,3,5,5,5,5,2,2712,131.505750237121,010150007501,01015000750102506,010150007501025061,202210
1,10150,007501,025,07,1,3,1,2,2,1,2,2,2,2,2,2,3,2,2,2,2,2,5,5,3,3,5,5,5,5,5,2712,131.505750237121,010150007501,01015000750102507,010150007501025071,202210
1,10150,007501,025,08,1,3,1,2,2,1,2,2,2,2,2,1,4,2,2,2,2,2,5,2,5,5,5,2,3,3,2,2712,131.505750237121,010150007501,01015000750102508,010150007501025081,202210
1,10150,007601,015,01,1,3,1,1,2,1,2,2,1,2,2,2,4,2,2,2,2,2,5,5,5,5,5,3,3,3,3,2712,310.626868725798,010150007601,01015000760101501,010150007601015011,202210
1,10150,007601,015,02,1,3,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,2,5,5,5,5,5,1,3,3,4,2712,310.626868725798,010150007601,01015000760101502,010150007601015021,202210
1,10150,007601,015,03,1,3,6,1,1,1,2,2,1,2,2,1,4,1,2,2,2,2,5,5,5,5,5,1,5,5,5,2712,310.626868725798,010150007601,01015000760101503,010150007601015031,202210
