area,ciudad,conglomerado,vivienda,hogar,estrato4,fexp4,sel,upm,id_hogar,s101p11,s101p12a,s101p12b,s101p12c,s101p12d,s101p12e,s101p2a,s101p2b,s101p2c,s101p2d,s101p2e,s101p2f,s101p3,s101p3a,s101p3b,s101p4,s101p4a,s101p4b,s101p4b1,s101p5a,s101p5b,s101p5c,s101p5d,s101p5e,s101p5f,s101p5g,s101p61,s101p62,s101p63,s101p64,s101p65,s101p66,s101p67,s101p68,s101p71,s101p72,s101p73,s101p74,s101p75,s101p76,s101p77,s101p8,s101p9a,s101p9b,s101p9c,s101p9d,s101p10,s101p111,s101p11111,s101p112,s101p11112,s101p113,s101p11113,s101p114,s101p11114,s101p115,s101p11115,s101p121,s101p122,s101p123,s101p124,s101p125,s101p126,s101p127,s101p13,s101p141,s101p142,s101p143,s101p144,s101p151,s101p152,s101p153,s101p154,s101p155,s101p156,s101p157,s101p158,s101p159,s101p1510,s101p1511,s101p16,s101p161,s101p171,s101p172,s101p173,s101p174,s101p175,s101p176,s101p181,s101p182,s101p183,S12P9,S12P13,S12P16,S12P16C,P1,NACIONAL,ciudad_num,P12,P14
1,140650,000304,09,1,1411,61.6995010375977,1,140650000304,140650000304091,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,20,20,10,8,8,8,1,1,1,1,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,3,1,5,5,9,1,2, ,1,240,2, ,2, ,2, ,2,2,1,2,2,2,2,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,3,3,1,1,5,5,1,1,1,1,1,1,140650,1,2
1,200250,000028,03,1,2022,69.9297485351563,1,200250000028,200250000028031,1,1,1,1,1,1,1,1,1,1,1,1,1,6,0,1,8,8,0,1,1,1,1,1,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,2,2,1,2,2,2,2,1,2, ,1,240,2, ,2, ,2, ,2,2,2,1,2,1,1,4,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,4,4,4,1,2,1,1,1,1,200250,1,1
1,220150,002801,13,1,2213,62.3876266479492,1,220150002801,220150002801131,2,2,2,2,2,2,3,3,3,3,3,3,1,2,0,1,5,5,0,3,3,3,3,3,3,8,2,2,2,2,2,2,2,2,1,1,1,1,1,2,2,3,1,1,1,1,1,2, ,1,240,2, ,2, ,2, ,2,2,2,2,2,2,2,3,1,1,1,2,2,2,2,1,2,1,1,1,1,1,1,2, ,3,3,3,3,3,1,3,3,3,1,1,1,1,2,1,220150,2,1
1,050150,003103,09,1,0512,184.59440612793,1,050150003103,050150003103091,2,2,2,2,2,2,3,3,3,3,3,3,1,8,0,1,10,10,0,3,3,3,3,3,3,3,2,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,2,2,1,1,2, ,1,220,2, ,2, ,2, ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2, ,3,2,5,4,5,1,1,3,3,1,1,1,1,2,1,50150,2,2
1,030150,006404,03,1,0312,171.009017944336,1,030150006404,030150006404031,1,1,1,1,1,1,1,3,3,3,3,3,1,4,0,1,10,10,0,8,8,8,8,8,8,8,2,2,1,1,1,2,1,2,1,1,1,2,1,1,2,3,4,3,3,3,1,2, ,1,200,2, ,2, ,2, ,2,2,2,1,1,1,2,4,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,5,1,1,5,5,1,4,3,5,1,1,1,1,1,1,30150,1,1
1,040450,000403,09,1,0411,112.26749420166,1,040450000403,040450000403091,1,1,1,1,1,1,1,1,1,1,1,1,1,7,0,1,15,15,15,1,8,8,6,1,1,8,2,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,1,2,2,1,1,2, ,1,200,2, ,2, ,2, ,2,2,2,2,2,2,2,3,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,5,5,5,5,5,1,5,5,1,1,1,1,1,1,40450,2,2
1,040650,000105,09,1,0411,52.9261054992676,1,040650000105,040650000105091,1,2,2,2,2,2,6,7,7,7,7,7,1,6,0,1,10,10,0,3,3,3,3,3,3,3,2,2,1,1,1,2,1,2,2,1,2,1,1,2,2,1,1,2,2,4,1,2, ,1,200,2, ,2, ,2, ,2,2,2,2,2,2,2,5,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,99,1,5,5,1,1,1,1,1,1,40650,2,2
1,050150,010201,07,1,0512,106.888305664063,1,050150010201,050150010201071,2,2,2,2,2,2,3,3,3,8,8,8,1,4,0,1,6,6,0,3,8,8,3,3,8,8,2,2,1,1,2,2,2,2,1,1,2,1,1,2,2,3,6,5,5,1,1,2, ,1,200,2, ,2, ,2, ,1,1,2,2,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,4,2,1,2,2,1,1,1,1,1,2,1,50150,1,2
1,060150,018001,07,1,0612,128.782791137695,1,060150018001,060150018001071,2,2,2,2,2,2,3,5,5,8,8,8,1,2,0,1,8,3,0,5,8,8,8,3,8,8,1,1,1,2,1,1,1,2,1,1,3,1,1,2,2,3,1,1,1,1,1,2, ,1,200,2, ,2, ,2, ,2,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,5,3,2,4,5,2,1,4,4,2,1,1,1,2,1,60150,1,2
1,080450,006201,07,1,0812,316.340484619141,1,080450006201,080450006201071,2,2,2,2,2,2,3,3,3,3,3,3,1,4,0,1,8,8,0,3,3,7,3,3,3,8,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,3,1,2,2,1,1,2, ,1,200,2, ,2, ,2, ,2,1,1,1,1,1,1,4,2,2,2,2,1,2,1,2,1,1,1,1,1,2,1,1,3,5,3,3,3,5,2,3,3,3,1,1,1,1,2,1,80450,1,2
1,120150,018202,11,1,1212,396.70361328125,1,120150018202,120150018202111,2,1,1,2,2,2,3,3,3,3,8,8,1,2,0,1,6,6,0,3,3,3,3,3,3,3,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,4,4,1,2, ,1,200,2, ,2, ,2, ,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,1,1,1,1,1,1,120150,1,1
1,150150,000102,09,1,1511,75.5119781494141,1,150150000102,150150000102091,1,1,1,1,1,2,6,2,2,2,3,8,2, , ,1,20,20,20,8,8,8,6,3,3,8,2,2,1,1,2,2,2,2,2,1,2,1,1,2,2,3,6,1,1,1,1,2, ,1,200,2, ,2, ,2, ,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,1,2,1,1,1,1,2,1,3,5,5,5,5,5,2,1,5,5,1,1,1,2,1,1,150150,2,2
1,150150,001306,07,1,1511,64.8931045532227,1,150150001306,150150001306071,1,1,1,1,2,2,6,7,2,7,8,8,1,2,1,1,8,8,3,8,8,3,3,3,8,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,2,3,6,2,2,1,1,2, ,1,200,2, ,2, ,2, ,2,1,2,2,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2, ,4,4,4,4,4,2,5,5,5,1,2,1,1,1,1,150150,1,2
1,150150,003902,03,1,1511,67.9607772827148,1,150150003902,150150003902031,1,1,1,2,1,2,2,1,1,3,1,3,1,6,0,1,6,6,0,3,3,8,6,3,3,8,2,1,1,1,1,1,2,1,1,1,2,2,1,1,2,3,2,2,2,4,1,2, ,1,200,2, ,2, ,2, ,1,1,1,1,1,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,5,5,5,5,5,1,5,5,5,1,2,1,1,1,1,150150,1,2
1,170159,000603,01,1,3011,706.110046386719,1,170159000603,170159000603011,2,2,2,2,2,2,3,3,3,3,3,3,1,4,0,1,5,5,0,3,3,3,3,3,3,3,2,1,1,1,1,2,2,2,1,2,2,2,1,2,2,3,1,1,2,2,1,2, ,1,200,2, ,2, ,2, ,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2, ,99,1,99,2,99,99,2,2,1,1,2,3,1,2,1,170159,1,2
